Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
651-700,University of Milano-Bicocca,Italy,,">30,000",Public,Comprehensive
651-700,University of Minho,Portugal,,"<30,000",,
651-700,University of Seoul,South Korea,,"<12,000",Public,Comprehensive
651-700,University of Windsor,Canada,,"<30,000",Public,Comprehensive
651-700,Virginia Commonwealth University,United States,,,,
651-700,Worcester Polytechnic Institute,United States,,"<12,000",Private,Comprehensive
701-750,Ain Shams University,Egypt,,">30,000",Public,Comprehensive+
701-750,Airlangga University,Indonesia,,">30,000",Public,Comprehensive+
701-750,Beijing Jiaotong University,China,,"<30,000",Public,Comprehensive
701-750,Beijing University of Technology,China,,"<30,000",Public,Comprehensive
701-750,Bournemouth University,United Kingdom,,,,
701-750,China Agricultural University,China,,"<30,000",Public,Comprehensive+
701-750,Clemson University,United States,,"<30,000",Public,Comprehensive
701-750,Comenius University in Bratislava,Slovakia,,"<30,000",Public,Comprehensive
701-750,Dankook University,South Korea,,,,
701-750,De La Salle University,Philippines,,"<30,000",Private,Comprehensive
701-750,Hunan University,China,,">30,000",Public,
701-750,International Islamic University Malaysia (IIUM),Malaysia,,"<30,000",Public,Comprehensive+
701-750,Kaunas University of Technology,Lithuania,,,,
701-750,Khazar University,Azerbaijan,,"<5,000",Private,Focused
701-750,Kyungpook National University,South Korea,,,,
701-750,Lahore University of Management Sciences (LUMS),Pakistan,,"<5,000",Private,Comprehensive
701-750,Lobachevsky University,Russia,,"<5,000",,
701-750,London Metropolitan University,United Kingdom,,"<12,000",Public,Comprehensive
701-750,Manipal Academy of Higher Education,India,,,,
701-750,Maynooth University,Ireland,,"<12,000",Public,Focused
701-750,Memorial University of Newfoundland,Canada,,"<30,000",Public,Comprehensive+
701-750,Middlesex University,United Kingdom,,"<30,000",Public,Comprehensive
701-750,"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,,,,
701-750,Niigata University,Japan,,"<30,000",Public,Comprehensive+
701-750,Osaka Prefecture University,Japan,,,,
701-750,Palacký University in Olomouc,Czech Republic,,"<30,000",Public,Comprehensive
701-750,Pontificia Universidad Católica de Valparaíso,Chile,,,,
701-750,Rhodes University,South Africa,,"<12,000",Public,
701-750,Smith College,United States,,"<5,000",Private,
701-750,Sofia University St. Kliment Ohridski,Bulgaria,,"<30,000",Public,Comprehensive
701-750,Sophia University,Japan,,"<30,000",Private,Comprehensive
701-750,Southern Methodist University,United States,,,,
701-750,Texas Tech University,United States,,">30,000",,
701-750,Tokyo University of Science,Japan,,"<30,000",Private,Focused
701-750,Universidad de la República (UdelaR),Uruguay,,">30,000",Public,Comprehensive+
701-750,Universidad San Francisco de Quito (USFQ),Ecuador,,"<12,000",Private,Comprehensive+
701-750,Universidad Nacional de Córdoba - UNC,Argentina,,"<12,000",Private,Comprehensive+
701-750,Ca' Foscari University of Venice,Italy,,"<30,000",Public,Focused
701-750,University of Genoa,Italy,,,,
701-750,University of Modena and Reggio Emilia,Italy,,"<30,000",Public,Comprehensive+
701-750,University of Trieste,Italy,,,,
701-750,Universiti Utara Malaysia (UUM),Malaysia,,"<30,000",Public,Specialist
701-750,University of Brighton,United Kingdom,,,,
701-750,University of Bucharest,Romania,,"<30,000",Public,Focused
701-750,University of Central Florida,United States,,">30,000",Public,Comprehensive+
701-750,University of Denver,United States,,"<12,000",Private,Comprehensive
701-750,University of Dhaka,Bangladesh,,,,
701-750,University of Kwazulu-Natal,South Africa,,"<30,000",Public,Comprehensive+
701-750,University of Latvia,Latvia,,,,
701-750,University of Patras,Greece,,"<30,000",Public,Comprehensive+
