Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
=76,National Taiwan University (NTU),Taiwan,,">30,000",Public,Comprehensive+
=76,Tohoku University,Japan,,"<30,000",Public,Comprehensive+
=78,Lund University,Sweden,,"<30,000",Public,Comprehensive+
=78,Durham University,United Kingdom,,"<30,000",Public,Comprehensive+
80,"University of North Carolina, Chapel Hill",United States,,"<30,000",Public,Comprehensive+
81,Boston University,United States,,"<30,000",Private,Comprehensive+
=82,The University of Auckland,New Zealand,,"<30,000",Public,Comprehensive+
=82,The University of Sheffield,United Kingdom,,"<30,000",Public,Comprehensive+
=84,The University of Nottingham,United Kingdom,,"<30,000",Public,Comprehensive+
=84,University of Birmingham,United Kingdom,,"<30,000",Public,Comprehensive+
86,The Ohio State University,United States,,">30,000",Public,Comprehensive+
87,Zhejiang University,China,,">30,000",Public,Comprehensive+
88,"Trinity College Dublin, The University of Dublin",Ireland,,"<30,000",Public,Comprehensive+
89,Rice University,United States,,"<12,000",Private,Comprehensive+
=90,University of Alberta,Canada,,,,
=90,Korea University,South Korea,,"<30,000",Private,Comprehensive+
92,University of St Andrews,United Kingdom,,"<12,000",Public,Comprehensive+
=93,Pennsylvania State University,United States,,">30,000",Public,Comprehensive+
=93,The University of Western Australia,Australia,,"<30,000",Public,Comprehensive+
=95,The Hong Kong Polytechnic University,Hong Kong,,"<30,000",Public,Comprehensive
=95,Lomonosov Moscow State University,Russia,,">30,000",Public,Focused
97,University of Science and Technology of China,China,,"<30,000",Public,Comprehensive
=98,KTH Royal Institute of Technology,Sweden,,"<30,000",Public,Comprehensive
=98,University of Geneva,Switzerland,,"<30,000",Public,Comprehensive+
100,Washington University in St. Louis,United States,,"<30,000",Private,Comprehensive+
101,University of Leeds,United Kingdom,,"<30,000",Public,Comprehensive+
=102,University of Helsinki,Finland,,"<30,000",Public,Comprehensive
=102,University of Southampton,United Kingdom,,"<30,000",Public,Comprehensive+
104,Eindhoven University of Technology,Netherlands,,"<12,000",Public,Focused
105,Purdue University,United States,,,,
106,Yonsei University,South Korea,,"<30,000",Private,Comprehensive+
107,"KIT, Karlsruhe Institute of Technology",Germany,,"<30,000",Private,Comprehensive+
108,Sungkyunkwan University (SKKU),South Korea,,"<30,000",Private,Comprehensive+
=109,Utrecht University,Netherlands,,">30,000",Public,Comprehensive+
=109,Leiden University,Netherlands,,"<30,000",Public,Comprehensive+
=109,The University of Adelaide,Australia,,"<30,000",Public,Comprehensive+
112,Uppsala University,Sweden,,"<30,000",Public,Comprehensive+
113,University of Groningen,Netherlands,,"<30,000",Public,Comprehensive+
=114,Nanjing University,China,,"<30,000",Public,Comprehensive+
=114,Universiti Malaya (UM),Malaysia,,"<30,000",Public,Comprehensive+
=116,Nagoya University,Japan,,"<30,000",Public,Comprehensive+
=116,Technical University of Denmark,Denmark,,"<12,000",Public,Focused
118,"University of California, Davis",United States,,">30,000",Public,Comprehensive+
119,Aarhus University,Denmark,,"<30,000",Public,Comprehensive+
120,Humboldt-Universität zu Berlin,Germany,,">30,000",Public,Comprehensive+
121,Universidade de São Paulo,Brazil,,">30,000",Public,Comprehensive+
=122,Universidad Nacional Autónoma de México (UNAM),Mexico,,">30,000",Public,Comprehensive+
=122,Hokkaido University,Japan,,"<30,000",Public,Comprehensive+
124,Wageningen University,Netherlands,,"<30,000",Public,Focused
=125,Ghent University,Belgium,,">30,000",Public,Comprehensive+
=125,Freie Universitaet Berlin,Germany,,">30,000",Public,Comprehensive+
127,Queen Mary University of London,United Kingdom,,"<30,000",Public,Comprehensive+
128,Kyushu University,Japan,,"<30,000",Public,Comprehensive+
129,"University of Maryland, College Park",United States,,">30,000",Public,Comprehensive+
130,Université de Montréal,Canada,,">30,000",Public,Comprehensive+
131,Université Pierre et Marie Curie (UPMC),France,,"<30,000",Public,Comprehensive
132,University of Southern California,United States,,">30,000",Private,Comprehensive+
133,Chalmers University of Technology,Sweden,,"<12,000",Private,Comprehensive
134,"University of California, Santa Barbara (UCSB)",United States,,"<30,000",Public,Comprehensive
=135,Lancaster University,United Kingdom,,"<30,000",Public,Comprehensive+
=135,University of York,United Kingdom,,"<30,000",Public,Comprehensive+
=137,Aalto University,Finland,,"<30,000",Public,Focused
=137,Cardiff University,United Kingdom,,"<30,000",Public,Comprehensive+
=137,Pontificia Universidad Católica de Chile (UC),Chile,,"<30,000",Public,Comprehensive+
140,McMaster University,Canada,,"<30,000",Public,Comprehensive+
141,RWTH Aachen University,Germany,,">30,000",Public,Comprehensive+
=142,University of Oslo,Norway,,"<30,000",Public,Comprehensive+
=142,University of Pittsburgh,United States,,,,
144,Technische Universität Berlin (TU Berlin),Germany,,"<30,000",Public,Comprehensive
145,The Hebrew University of Jerusalem,Israel,,"<30,000",Public,Comprehensive+
146,University of Lausanne,Switzerland,,"<30,000",Public,Comprehensive
=147,Emory University,United States,,"<30,000",Private,Comprehensive+
=147,Erasmus University Rotterdam,Netherlands,,"<30,000",Public,Focused
=149,University of Basel,Switzerland,,"<30,000",Public,Focused
=149,Michigan State University,United States,,,,
151,University of Otago,New Zealand,,"<30,000",Public,Comprehensive+
152,University of Waterloo,Canada,,">30,000",Public,Comprehensive
153,Université catholique de Louvain (UCL),Belgium,,"<30,000",Private,Comprehensive+
154,University of Vienna,Austria,,"<30,000",Private,Comprehensive+
155,Hanyang University,South Korea,,"<30,000",Private,Comprehensive+
156,Universitat de Barcelona,Spain,,">30,000",Public,Comprehensive+
157,École Normale Supérieure de Lyon,France,,">30,000",Public,Comprehensive+
=158,The University of Exeter,United Kingdom,,"<30,000",Public,Comprehensive+
=158,University of Aberdeen,United Kingdom,,"<30,000",Public,Comprehensive+
160,University of Bath,United Kingdom,,"<30,000",Public,Comprehensive
=161,Newcastle University,United Kingdom,,"<30,000",Public,Comprehensive+
=161,National Tsing Hua University,Taiwan,,"<30,000",Public,Comprehensive
163,University of Minnesota,United States,,">30,000",Public,Comprehensive+
=164,Eberhard Karls Universität Tübingen,Germany,,"<30,000",Public,Comprehensive+
=164,University of Bergen,Norway,,"<30,000",Public,Comprehensive+
=164,"University of California, Irvine",United States,,">30,000",Public,Comprehensive+
167,University of Bern,Switzerland,,">30,000",Public,Comprehensive+
168,University College Dublin,Ireland,,"<30,000",Public,Comprehensive+
169,Dartmouth College,United States,,"<12,000",Private,Comprehensive+
170,Politecnico di Milano,Italy,,">30,000",Public,Focused
171,Albert-Ludwigs-Universitaet Freiburg,Germany,,"<30,000",Public,Comprehensive+
172,Indian Institute of Technology Delhi (IITD),India,,"<12,000",Public,Comprehensive
=173,University of Liverpool,United Kingdom,,"<30,000",Public,Comprehensive+
=173,University of Virginia,United States,,"<30,000",Public,Comprehensive+
=173,King Fahd University of Petroleum & Minerals,Saudi Arabia,,"<12,000",Public,Comprehensive
176,University of Technology Sydney,Australia,,"<30,000",Public,Comprehensive
177,CentraleSupélec,France,,"<5,000",Public,Focused
178,University of Florida,United States,,">30,000",Private,Comprehensive+
=179,Indian Institute of Technology Bombay (IITB),India,,"> 12,000 students",Private,Comprehensive
=179,University of Twente,Netherlands,,"<12,000",Public,Focused
181,University of Göttingen,Germany,,">30,000",Public,Comprehensive+
