Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
=182,University of Colorado Boulder,United States,,">30,000",Public,Comprehensive
=182,Vienna University of Technology,Austria,,"<30,000",Public,Focused
=182,Vrije Universiteit Brussel (VUB),Belgium,,"<12,000",Public,Comprehensive+
=182,Universidade Estadual de Campinas (Unicamp),Brazil,,"<30,000",Public,Comprehensive+
186,University of Rochester,United States,,,,
187,Universidad Autónoma de Madrid,Spain,,"> 12,000 students",,
=188,University of Reading,United Kingdom,,"<30,000",Public,Comprehensive
=188,Alma Mater Studiorum - University of Bologna,Italy,,">30,000",Public,Comprehensive+
190,Indian Institute of Science (IISc) Bangalore,India,,"<5,000",Public,Specialist
191,University of Cape Town,South Africa,,"<30,000",Public,Comprehensive+
=192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,,"<30,000",Public,Comprehensive+
=192,Keio University,Japan,,">30,000",Private,Comprehensive+
=192,Scuola Normale Superiore di Pisa,Italy,,"<5,000",Focused,
=195,Texas A&M University,United States,,,,
=195,Stockholm University,Sweden,,"<30,000",Public,Comprehensive
=195,Universitat Autònoma de Barcelona,Spain,,">30,000",Public,Comprehensive+
199,Instituto Tecnológico y de Estudios Superiores de Monterrey,Mexico,,">30,000",Public,Comprehensive+
200,Maastricht University,Netherlands,,">30,000",Public,Comprehensive+
201,Universidad de Chile,Chile,,">30,000",Public,Comprehensive+
202,Queen's University Belfast,United Kingdom,,"<30,000",Public,Comprehensive+
203,Waseda University,Japan,,">30,000",Private,Comprehensive
204,Radboud University,Netherlands,,"<30,000",Public,Comprehensive+
=205,Universite libre de Bruxelles,Belgium,,"<30,000",Public,Comprehensive+
=205,Tel Aviv University,Israel,,"<30,000",Public,Comprehensive+
=207,"University of Illinois, Chicago (UIC)",United States,,"<30,000",Public,Comprehensive+
=207,National Chiao Tung University,Taiwan,,"<12,000",Public,Comprehensive
209,Arizona State University,United States,,,,
=210,The University of Western Ontario,Canada,,"<30,000",Public,Comprehensive+
=210,University of Antwerp,Belgium,,"<30,000",Public,Comprehensive+
212,Vanderbilt University,United States,,,,
213,Case Western Reserve University,United States,,"<12,000",Private,Comprehensive+
214,University of Canterbury,New Zealand,,"<12,000",Public,Comprehensive
215,Sapienza University of Rome,Italy,,">30,000",Public,Comprehensive+
216,University of Notre Dame,United States,,"<30,000",Private,Comprehensive
217,University of Calgary,Canada,,">30,000",Public,Comprehensive+
218,Vrije Universiteit Amsterdam,Netherlands,,"<30,000",Public,Comprehensive+
219,Victoria University of Wellington,New Zealand,,"<30,000",Public,Comprehensive
220,Sciences Po,France,,"<12,000",Public,Specialist
221,King Saud University,Saudi Arabia,,"<12,000",Public,Specialist
222,National Cheng Kung University (NCKU),Taiwan,,"<30,000",Public,Comprehensive+
223,Universität Hamburg,Germany,,">30,000",Public,Comprehensive+
=224,"The University of Newcastle, Australia (UON)",Australia,,"<30,000",Public,Comprehensive+
=224,Queen's University at Kingston,Canada,,"<30,000",Public,Comprehensive+
=224,Technion - Israel Institute of Technology,Israel,,"<30,000",Public,Comprehensive+
227,Georgetown University,United States,,"<30,000",Private,Comprehensive+
228,University of Sussex,United Kingdom,,"<30,000",Public,Comprehensive+
229,Universiti Putra Malaysia (UPM),Malaysia,,"<30,000",Public,Comprehensive+
=230,Universiti Kebangsaan Malaysia (UKM),Malaysia,,"<30,000",Public,Comprehensive+
=230,The University of Arizona,United States,,"<30,000",Public,Comprehensive+
232,University of Wollongong,Australia,,"<30,000",Public,Comprehensive+
233,University Complutense Madrid,Spain,,">30,000",Public,Comprehensive+
234,Loughborough University,United Kingdom,,"<30,000",Public,Focused
235,American University of Beirut (AUB),Lebanon,,"<12,000",Private,Comprehensive+
=236,Al-Farabi Kazakh National University,Kazakhstan,,"<30,000",Public,Comprehensive
=236,Université Grenoble-Alpes,France,,">30,000",,
238,University of Leicester,United Kingdom,,"<30,000",Public,Comprehensive+
239,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,">30,000",Public,Comprehensive+
=240,Macquarie University,Australia,,"<30,000",Public,Comprehensive+
=240,Saint Petersburg State University,Russia,,"<30,000",Public,Comprehensive+
242,Université Paris-Sud,France,,"<30,000",Public,Comprehensive
=243,National University of Ireland Galway,Ireland,,"<30,000",Public,Comprehensive+
=243,Tufts University,United States,,"<12,000",Private,Comprehensive+
=245,Chulalongkorn University,Thailand,,"<12,000",Private,Comprehensive+
=245,Simon Fraser University,Canada,,,,
=247,Queensland University of Technology (QUT),Australia,,">30,000",Public,Comprehensive
=247,RMIT University,Australia,,">30,000",Public,Comprehensive
249,University of Massachusetts Amherst,United States,,">30,000",Public,Comprehensive
=250,Novosibirsk State University,Russia,,"<12,000",Public,Comprehensive
=250,University of Tsukuba,Japan,,"<30,000",Public,Comprehensive+
252,University of Miami,United States,,"<30,000",Private,Comprehensive+
253,Universiti Teknologi Malaysia,Malaysia,,"<30,000",Public,Comprehensive
=254,Universität Frankfurt am Main,Germany,,">30,000",Public,Comprehensive+
=254,Universidad Nacional de Colombia,Colombia,,">30,000",Public,Comprehensive+
=256,Kyung Hee University,South Korea,,">30,000",Public,Comprehensive+
=256,Universidad de los Andes,Colombia,,"<30,000",Private,Comprehensive+
=256,Beijing Normal University,China,,"<30,000",Public,Comprehensive
=259,Royal Holloway University of London,United Kingdom,,"<12,000",Public,Comprehensive
=259,Universität Stuttgart,Germany,,"<30,000",Public,Comprehensive
=259,Norwegian University of Science And Technology,Norway,,"<30,000",Public,Comprehensive+
262,Curtin University,Australia,,"<30,000",Public,Comprehensive
263,North Carolina State University,United States,,,,
=264,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,,"<12,000",Public,Focused
=264,University of Surrey,United Kingdom,,"<30,000",Public,Comprehensive
=264,Universiti Sains Malaysia (USM),Malaysia,,"<30,000",Public,Comprehensive+
=264,Indian Institute of Technology Madras (IITM),India,,"<12,000",Public,Comprehensive
=267,King Abdulaziz University (KAU),Saudi Arabia,,">30,000",Public,Comprehensive+
=267,University of Dundee,United Kingdom,,">30,000",Public,Comprehensive+
269,Université Paris 1 Panthéon-Sorbonne,France,,">30,000",Public,Focused
=270,Ecole des Ponts ParisTech,France,,"<5,000",Public,Focused
=270,University of Navarra,Spain,,"<5,000",Public,Focused
=272,Technische Universität Darmstadt,Germany,,"<30,000",Public,Focused
274,University of East Anglia (UEA),United Kingdom,,"<30,000",Public,Comprehensive+
275,Universitat Politècnica de Catalunya,Spain,,"<30,000",Public,Comprehensive+
276,University of Turku,Finland,,"<30,000",Public,Comprehensive+
=277,Universitas Indonesia,Indonesia,,">30,000",Public,Comprehensive+
=277,University of Strathclyde,United Kingdom,,"<30,000",Public,Comprehensive
=279,Dalhousie University,Canada,,"<30,000",Public,Comprehensive+
=279,University of South Australia,Australia,,"<30,000",Public,Comprehensive
=281,Technische Universität Dresden,Germany,,"<30,000",Public,Comprehensive
281,Universidad Carlos III de Madrid (UC3M),Spain,,"<30,000",Public,Focused
282,Wuhan University,China,,">30,000",Public,Comprehensive+
=283,University College Cork,Ireland,,"<30,000",Public,Comprehensive+
=283,University of Gothenburg,Sweden,,"<30,000",Public,Comprehensive+
=283,Rutgers University - New Brunswick,United States,,">30,000",Public,Comprehensive
286,Universität Innsbruck,Austria,,"<30,000",Public,Comprehensive+
=287,Linköping University,Sweden,,"<30,000",Public,Comprehensive
=287,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,,">30,000",Public,Comprehensive+
=289,National Taiwan Normal University,Taiwan,,"<12,000",Public,Comprehensive
=289,University of Ottawa,Canada,,">30,000",Public,Comprehensive+
291,Bauman Moscow State Technical University,Russia,,"<30,000",Public,Comprehensive
292,University of Waikato,New Zealand,,"<12,000",Public,Comprehensive
=293,Indian Institute of Technology Kanpur (IITK),India,,"<12,000",Public,Comprehensive
=293,Université Paris-Sorbonne (Paris IV),France,,"<12,000",Public,Comprehensive
=293,Deakin University,Australia,,">30,000",Public,Comprehensive+
=296,SOAS University of London,United Kingdom,,"<5,000",Public,Specialist
=296,Università di Padova,Italy,,">30,000",Public,Comprehensive+
=296,Universitat Pompeu Fabra,Spain,,"<12,000",Public,Comprehensive
=299,Ewha Womans University,South Korea,,"<30,000",Private,Comprehensive+
=299,Hong Kong Baptist University,Hong Kong,,"<12,000",Public,Comprehensive+
=301,"University of California, Santa Cruz",United States,,"<30,000",Public,
=301,University of Porto,Portugal,,"<30,000",Public,Comprehensive
303,Université de Strasbourg,France,,">30,000",Public,Comprehensive+
304,Indiana University Bloomington,United States,,">30,000",Public,Comprehensive+
=305,University of Lisbon,Portugal,,">30,000",Public,Comprehensive+
=305,Université Paris Diderot - Paris 7,France,,"<30,000",Public,Comprehensive+
307,Politecnico di Torino,Italy,,">30,000",Public,Focused
=308,Indian Institute of Technology Kharagpur (IIT-KGP),India,,">30,000",Public,Focused
=308,Westfälische Wilhelms-Universität Münster,Germany,,"> 12,000 students",Private,Comprehensive
=308,"Birkbeck, University of London",United Kingdom,,"<12,000",Public,Focused
311,Universidade Federal do Rio de Janeiro,Brazil,,">30,000",Public,Comprehensive+
312,Heriot-Watt University,United Kingdom,,"<12,000",Public,Comprehensive
313,University of Tasmania,Australia,,"<12,000",Public,Comprehensive
=314,Charles University,Czech Republic,,">30,000",Public,Comprehensive+
=314,University of Tartu,Estonia,,">30,000",Public,Comprehensive+
=316,Massey University,New Zealand,,"<30,000",Public,Comprehensive
=316,Tongji University,China,,">30,000",Public,Comprehensive+
318,University at Buffalo SUNY,United States,,"<30,000",Public,Comprehensive+
=319,Université de Liège,Belgium,,"<30,000",Public,Comprehensive+
=319,Lincoln University,New Zealand,,"<5,000",Public,Comprehensive
=319,Sun Yat-sen University,China,,">30,000",Public,Comprehensive+
322,Hiroshima University,Japan,,"> 12,000 students",Private,Comprehensive
=323,Tomsk State University,Russia,,"<12,000",Public,Comprehensive
=323,"University of California, Riverside",United States,,"<30,000",Public,Comprehensive+
=325,The Katz School at Yeshiva University,United States,,"<12,000",Private,Comprehensive+
=325,Harbin Institute of Technology,China,,"<30,000",Public,Focused
=325,University of Milan,Italy,,"<30,000",Public,Focused
=325,Griffith University,Australia,,">30,000",Public,Comprehensive+
329,National Yang Ming University,Taiwan,,">30,000",Public,Comprehensive+
330,Ecole Normale Supérieure de Cachan,France,,">30,000",Public,Comprehensive+
=331,University of Cologne,Germany,,">30,000",Public,Comprehensive+
=331,Bandung Institute of Technology (ITB),Indonesia,,"<30,000",Public,Comprehensive
=331,Universidad Austral,Argentina,,"<5,000",Private,Comprehensive
=334,Mahidol University,Thailand,,"<30,000",Public,Comprehensive+
=334,Belarusian State University,Belarus,,"<30,000",Public,Focused
336,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,,"<30,000",Public,Focused
337,Universidad de Belgrano,Argentina,,"<30,000",Public,Focused
338,Umea University,Sweden,,"<30,000",Public,Focused
=339,Gwangju Institute of Science and Technology (GIST),South Korea,,"<30,000",Public,Focused
=339,Boston College,United States,,,,
=341,University of Hawai'i at Mañoa,United States,,"<30,000",Public,Comprehensive+
=341,Universität Jena,Germany,,"<30,000",Public,Comprehensive+
343,"City, University of London",United Kingdom,,"<30,000",Public,Comprehensive
=344,Xi’an Jiaotong University,China,,">30,000",Public,Comprehensive+
=344,Nankai University,China,,"<30,000",Public,Comprehensive+
=346,Northeastern University,United States,,"<30,000",Private,Comprehensive
=346,University of Victoria,Canada,,"<30,000",Public,Comprehensive
=346,Brunel University London,United Kingdom,,"<12,000",Public,Comprehensive
=347,University of Essex,United Kingdom,,"<30,000",Public,Comprehensive
=349,Universiti Brunei Darussalam (UBD),Brunei,,"<30,000",Public,Comprehensive
=349,Qatar University,Qatar,,"<12,000",Public,Comprehensive+
351,Kobe University,Japan,,"<30,000",Public,Comprehensive+
=352,Ben Gurion University of The Negev,Israel,,"<30,000",Public,Comprehensive+
=352,George Washington University,United States,,"<30,000",Private,Comprehensive+
=355,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,,"<12,000",Public,Focused
=355,"Université Paris-Dauphine, PSL Research University",France,,"<12,000",Public,Specialist
=357,Tilburg University,Netherlands,,"<12,000",Public,Focused
=357,University Ulm,Germany,,"<12,000",Public,Comprehensive
=357,University of Jyväskylä,Finland,,"<12,000",Public,Comprehensive
360,La Trobe University,Australia,,"<30,000",Public,Comprehensive
=361,Stellenbosch University,South Africa,,"<30,000",Public,Comprehensive+
=361,Universidade Nova de Lisboa,Portugal,,"<30,000",Public,Comprehensive+
=361,Oxford Brookes University,United Kingdom,,"<30,000",Public,Comprehensive
=364,Pontificia Universidad Católica Argentina,Argentina,,"<30,000",Public,Comprehensive
=364,Rensselaer Polytechnic Institute,United States,,"<12,000",Private,Comprehensive
=364,University of Witwatersrand,South Africa,,"<30,000",Public,Comprehensive+
=367,University of the Philippines,Philippines,,">30,000",Public,Comprehensive+
=367,James Cook University,Australia,,"<30,000",Public,Comprehensive+
=367,University of Tromsø The Arctic University of Norway,Norway,,"<30,000",Public,Comprehensive+
=367,Tokyo Medical and Dental University (TMDU),Japan,,"<5,000",Public,Focused
=367,Virginia Polytechnic Institute and State University,United States,,">30,000",Public,Comprehensive+
372,University of St.Gallen (HSG),Switzerland,,">30,000",Public,Comprehensive+
=373,Moscow State Institute of International Relations (MGIMO University),Russia,,"<12,000",Public,Specialist
=373,University of Kent,United Kingdom,,"<12,000",Public,Specialist
=373,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,,"<12,000",Public,Focused
