Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
801-1000,Universit Paul-Valery Montpellier 3,France,QS,"<30,000",Public,Focused
801-1000,University of Arkansas,United States,QS,"<30,000",Public,Comprehensive
801-1000,University of Bahrain,Bahrain,QS,"<30,000",Public,Comprehensive
801-1000,University of Bari,Italy,QS,">30,000",Public,Comprehensive+
801-1000,University of Belgrade,Serbia,QS,">30,000",Public,Comprehensive+
801-1000,University of Brawijaya,Indonesia,QS,">30,000",Public,Comprehensive+
801-1000,University of Central Lancashire,United Kingdom,QS,,,Comprehensive
801-1000,University of East London,United Kingdom,QS,"<12,000",Public,Comprehensive
801-1000,University of Engineering & Technology (UET) Lahore,Pakistan,QS,"<30,000",Public,Focused
801-1000,University of Ghana,Ghana,QS,">30,000",Public,Comprehensive+
801-1000,University of Greenwich,United Kingdom,QS,"<30,000",Public,Comprehensive
801-1000,University of Karachi,Pakistan,QS,"<30,000",Public,Comprehensive
801-1000,The University of Lahore,Pakistan,QS,"<30,000",Private,Focused
801-1000,University of Maribor,Slovenia,QS,"<30,000",Public,Comprehensive+
801-1000,University of Mississippi,United States,QS,"<30,000",Public,Comprehensive
801-1000,University of Montana Missoula,United States,QS,"<12,000",Public,
801-1000,University of Mumbai,India,QS,">30,000",Public,Comprehensive+
801-1000,University of Nairobi,Kenya,QS,">30,000",Public,Comprehensive+
801-1000,University of New England Australia,Australia,QS,"<30,000",Public,Comprehensive
801-1000,Savitribai Phule Pune University,India,QS,"<12,000",Public,Comprehensive
801-1000,University of San Diego,United States,QS,,,
801-1000,University of San Francisco,United States,QS,"<12,000",Private,Comprehensive
801-1000,University of Santo Tomas,Philippines,QS,">30,000",Private,Comprehensive+
801-1000,University of the Pacific,United States,QS,"<12,000",Private,Comprehensive
801-1000,University of the Sunshine Coast,Australia,QS,"<12,000",Public,Comprehensive
801-1000,University of the Western Cape,South Africa,QS,"<30,000",Public,Comprehensive
801-1000,University of Wroclaw,Poland,QS,,,
801-1000,Université de Toulouse II-Le Mirail,France,QS,,Private,
801-1000,Utah State University,United States,QS,"<30,000",Public,Comprehensive
801-1000,Verona University,Italy,QS,"<30,000",Public,Comprehensive+
801-1000,Voronezh State University,Russia,QS,,,
801-1000,Vytautas Magnus University,Lithuania,QS,"<12,000",Public,Focused
801-1000,Universitatea de Vest din Timisoara / West University of Timisoara,Romania,QS,,,
801-1000,Wroclaw University of Technology,Poland,QS,"<30,000",Public,Focused
