Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
=137,Cardiff University,United Kingdom,QS,,,
=137,Pontificia Universidad Católica de Chile (UC),Chile,QS,,,
140,McMaster University,Canada,QS,,,
141,RWTH Aachen University,Germany,QS,,,
=142,University of Oslo,Norway,QS,,,
=142,University of Pittsburgh,United States,QS,,,
144,Technische Universität Berlin (TU Berlin),Germany,QS,,,
145,The Hebrew University of Jerusalem,Israel,QS,,,
146,University of Lausanne,Switzerland,QS,,,
=147,Emory University,United States,QS,,,
=147,Erasmus University Rotterdam,Netherlands,QS,,,
=149,University of Basel,Switzerland,QS,,,
=149,Michigan State University,United States,QS,,,
151,University of Otago,New Zealand,QS,,,
152,University of Waterloo,Canada,QS,,,
153,Université catholique de Louvain (UCL),Belgium,QS,,,
154,University of Vienna,Austria,QS,,,
155,Hanyang University,South Korea,QS,,,
156,Universitat de Barcelona,Spain,QS,,,
157,École Normale Supérieure de Lyon,France,QS,,,
=158,The University of Exeter,United Kingdom,QS,,,
=158,University of Aberdeen,United Kingdom,QS,,,
160,University of Bath,United Kingdom,QS,,,
=161,Newcastle University,United Kingdom,QS,,,
=161,National Tsing Hua University,Taiwan,QS,,,
163,University of Minnesota,United States,QS,,,
=164,Eberhard Karls Universität Tübingen,Germany,QS,,,
=164,University of Bergen,Norway,QS,,,
=164,"University of California, Irvine",United States,QS,,,
167,University of Bern,Switzerland,QS,,,
168,University College Dublin,Ireland,QS,,,
169,Dartmouth College,United States,QS,,,
170,Politecnico di Milano,Italy,QS,,,
171,Albert-Ludwigs-Universitaet Freiburg,Germany,QS,,,
172,Indian Institute of Technology Delhi (IITD),India,QS,,,
=173,University of Liverpool,United Kingdom,QS,,,
=173,University of Virginia,United States,QS,,,
=173,King Fahd University of Petroleum & Minerals,Saudi Arabia,QS,,,
176,University of Technology Sydney,Australia,QS,,,
177,CentraleSupélec,France,QS,,,
178,University of Florida,United States,QS,,,
=179,Indian Institute of Technology Bombay (IITB),India,QS,,,
=179,University of Twente,Netherlands,QS,,,
181,University of Göttingen,Germany,QS,,,
=182,University of Colorado Boulder,United States,QS,,,
=182,Vienna University of Technology,Austria,QS,,,
=182,Vrije Universiteit Brussel (VUB),Belgium,QS,,,
=182,Universidade Estadual de Campinas (Unicamp),Brazil,QS,,,
186,University of Rochester,United States,QS,,,
187,Universidad Autónoma de Madrid,Spain,QS,,,
=188,University of Reading,United Kingdom,QS,,,
=188,Alma Mater Studiorum - University of Bologna,Italy,QS,,,
190,Indian Institute of Science (IISc) Bangalore,India,QS,,,
191,University of Cape Town,South Africa,QS,,,
=192,Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,QS,,,
=192,Keio University,Japan,QS,,,
=192,Scuola Normale Superiore di Pisa,Italy,QS,,,
=195,Texas A&M University,United States,QS,,,
=195,Stockholm University,Sweden,QS,,,
=195,Universitat Autònoma de Barcelona,Spain,QS,,,
199,Instituto Tecnológico y de Estudios Superiores de Monterrey,Mexico,QS,,,
200,Maastricht University,Netherlands,QS,,,
201,Universidad de Chile,Chile,QS,,,
