Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
01,鸿凯激进8号,股票策略,查看,鸿凯投资,查看,--,查看,0.9410,--,查看,查看,查看,,,
02,蓝海一号,股票策略,查看,蓝海韬略,查看,-20.13%,查看,0.8730,150.10%,查看,查看,查看,,,
03,财通基金·富春定增1288号,定向增发,查看,财通基金,查看,--,查看,--,--,查看,查看,查看,,,
04,淡水泉成长,股票策略,查看,淡水泉投资,查看,14.29%,查看,5.9519,495.19%,查看,查看,查看,,,
05,景富二期基金,股票策略,查看,景富投资,查看,8.24%,查看,2.2060,120.60%,查看,查看,查看,,,
06,混沌1号,股票策略,查看,混沌道然资产,查看,-6.62%,查看,2.5388,153.88%,查看,查看,查看,,,
07,财通富春定增1588号,定向增发,查看,财通基金,查看,--,查看,--,0.00%,查看,查看,查看,,,
08,昀沣,股票策略,查看,千合资本,查看,-3.72%,查看,2.1221,112.21%,查看,查看,查看,,,
09,倚天徽商中国梦3号,管理期货,查看,倚天投资,查看,41.30%,查看,3.7333,273.33%,查看,查看,查看,,,
10,清水源1号,股票策略,查看,清水源投资,查看,-0.93%,查看,7.1076,610.76%,查看,查看,查看,,,
11,元普定增12号,定向增发,查看,元普投资,查看,-0.42%,查看,0.9538,--,查看,查看,查看,,,
12,元普新三板领军8号,定向增发,查看,元普投资,查看,-4.58%,查看,0.9333,-6.67%,查看,查看,查看,,,
13,从容全天候1期,股票策略,查看,从容投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
14,渤海分级定增宝8号B级,定向增发,查看,渤海证券,查看,582.78%,查看,7.3256,632.56%,查看,查看,查看,,,
15,长城卫星石化1号次级,其他,查看,长城证券,查看,283.66%,查看,0.7915,-20.85%,查看,查看,查看,,,
16,天成壹号基金,股票策略,查看,天成资管,查看,194.63%,查看,4.6263,362.63%,查看,查看,查看,,,
