Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
21052,穗德恒特一号,股票策略,查看,南京穗德,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21053,帕拉丁同德私募股权1号,定向增发,查看,帕拉丁资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21054,丹阳博奥股权,其他,查看,融诚财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21055,嘉鼎晟1期,股票策略,查看,嘉鼎晟资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21056,牧金新三板私募1号,定向增发,查看,牧金投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21057,一扇门稳健7号,股票策略,查看,一扇门资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21058,平安磐海海纳百川1号,股票策略,查看,平安磐海资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21059,天堂硅谷-金石定增,定向增发,查看,天堂硅谷资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21060,丰利天津和顺1号,股票策略,查看,丰利基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21061,盈捷众赢10号,股票策略,查看,泛盈捷资产,查看,--,查看,0.9990,-0.10%,查看,查看,查看,,,
21062,国时沣岳1号,套利策略,查看,国时资产,查看,--,查看,1.0090,0.90%,查看,查看,查看,,,
21063,永宇新价值1号,股票策略,查看,上海博崇,查看,--,查看,1.0130,1.30%,查看,查看,查看,,,
21064,添鑫源二号,股票策略,查看,添鑫源,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21065,合世家(基石)8009号,股票策略,查看,上海殷商,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21066,富锦7号汇利,股票策略,查看,汇利资产,查看,11.94%,查看,1.4504,45.04%,查看,查看,查看,,,
21067,天鑫金穗4号,股票策略,查看,天鑫财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21068,财通聚富1号A43(优先级),债券策略,查看,财通证券,查看,0.00%,查看,1.0000,2.02%,查看,查看,查看,,,
21069,金泉量化成长1期,股票策略,查看,哲灵投资,查看,-31.19%,查看,0.5470,0.11%,查看,查看,查看,,,
21070,宏富一号B,股票策略,查看,宏信证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21071,海通海融2号,债券策略,查看,海通证券,查看,0.18%,查看,1.0331,3.31%,查看,查看,查看,,,
21072,东裕腾牛成长1号,股票策略,查看,前海东裕,查看,-1.25%,查看,0.7870,-21.30%,查看,查看,查看,,,
