Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
11701,橙叶柒号现金管理,股票策略,查看,橙叶投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11702,上善量化稳健型,套利策略,查看,上善资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11703,金苹果1号,多策略,查看,高频投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11704,国投精选保理,其他,查看,深圳国投,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11705,上海财得.环龙港湾一期,股票策略,查看,朗峰股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11706,和瑾稳赢5号,股票策略,查看,和瑾资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11707,嘉赢蓝三木月专项股权,其他,查看,中天嘉华资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11708,翔阳创富2号,其他,查看,翔阳创富资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11709,兆天金牛精选6号,股票策略,查看,兆天投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11710,凯纳鸿飞1号,股票策略,查看,凯纳资本,查看,--,查看,1.0233,2.33%,查看,查看,查看,,,
11711,金苹果7号,多策略,查看,高频投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11712,展博点金1号,股票策略,查看,展博投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11713,禹域一号,股票策略,查看,禹域资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11714,鲸品优选5号,股票策略,查看,巨鲸财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11715,证大价值三期,股票策略,查看,证大投资,查看,-3.94%,查看,0.6894,-31.06%,查看,查看,查看,,,
11716,景泰复利回报二期,股票策略,查看,景泰利丰,查看,2.36%,查看,1.6533,65.33%,查看,查看,查看,,,
11717,汇金壹号,股票策略,查看,汇金拓资产,查看,-2.75%,查看,0.9540,-4.60%,查看,查看,查看,,,
11718,植瑞中植创盈1号24型,股票策略,查看,植瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
11719,恒稳1号,股票策略,查看,领新投资,查看,--,查看,0.9997,-0.03%,查看,查看,查看,,,
11720,精熙优胜回报1期,股票策略,查看,精熙投资,查看,-4.02%,查看,2.4124,141.24%,查看,查看,查看,,,
