Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
27001,中子星-星海3号,多策略,查看,信弘天禾,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27002,盈融达量化对冲3期专项,套利策略,查看,盈融达,查看,0.54%,查看,1.1242,15.63%,查看,查看,查看,,,
27003,敦和八卦田联接2号私募,股票策略,查看,敦和资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27004,信银1号(2011),股票策略,查看,信银,查看,10.42%,查看,1.1801,18.01%,查看,查看,查看,,,
27005,博弘16期,其他,查看,博弘数君投资,查看,-8.42%,查看,1.0146,1.46%,查看,查看,查看,,,
27006,博弘31期,股票策略,查看,博弘数君投资,查看,21.22%,查看,1.0460,4.60%,查看,查看,查看,,,
27007,宏鼎财富润金20号,股票策略,查看,宏鼎财富,查看,89.76%,查看,2.5007,150.07%,查看,查看,查看,,,
27008,光大收益型五期B,其他,查看,光大证券,查看,21.50%,查看,1.2150,21.50%,查看,查看,查看,,,
27009,晟乾成长证券投资,套利策略,查看,晟乾投资,查看,48.61%,查看,1.5606,56.06%,查看,查看,查看,,,
27010,融新252号(第8期),股票策略,查看,国鸣投资,查看,-10.08%,查看,1.0000,0.00%,查看,查看,查看,,,
27011,海通中锐量化1号,股票策略,查看,海通证券,查看,0.00%,查看,1.1782,17.82%,查看,查看,查看,,,
27012,华润信托•明达精选A号,股票策略,查看,明达资产,查看,-10.42%,查看,1.4515,53.15%,查看,查看,查看,,,
27013,齐鲁先锋2号,债券策略,查看,中泰证券,查看,1.52%,查看,1.0670,14.10%,查看,查看,查看,,,
27014,恒久一号,股票策略,查看,恒如投资,查看,-1.30%,查看,1.0518,5.18%,查看,查看,查看,,,
27015,财通月月福2号普通级,债券策略,查看,财通证券,查看,26.15%,查看,2.0259,102.59%,查看,查看,查看,,,
27016,国泰君安君享质押宝,其他,查看,国泰君安,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27017,江海新锐2号B类,其他,查看,江海证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27018,平安证券快易融1号优先级,债券策略,查看,平安证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27019,红鹭1期,股票策略,查看,民晟资产,查看,42.25%,查看,1.5985,59.85%,查看,查看,查看,,,
27020,东方红增利1号B,股票策略,查看,东方红资管,查看,33.03%,查看,1.4802,48.02%,查看,查看,查看,,,
27021,华融定增2号（B份额）,股票策略,查看,华融证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27022,创势翔盛世,股票策略,查看,创势翔投资,查看,-4.11%,查看,1.0857,48.57%,查看,查看,查看,,,
27023,湘财金禾七号,其他,查看,湘财证券,查看,0.00%,查看,1.0000,0.00%,查看,查看,查看,,,
27024,山西稳健收益10号次级,债券策略,查看,山西证券,查看,4.85%,查看,1.1020,10.20%,查看,查看,查看,,,
27025,隆元系列第1期-第17期,股票策略,查看,安徽嘉和投资,查看,44.83%,查看,1.4483,44.83%,查看,查看,查看,,,
27026,普洱茶八号,股票策略,查看,大树投资,查看,-23.96%,查看,0.8101,-18.99%,查看,查看,查看,,,
27027,诺德玺鸣3号,管理期货,查看,玺鸣投资,查看,6.50%,查看,1.0650,6.50%,查看,查看,查看,,,
27028,瑞滙2A类第88期,股票策略,查看,招商证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27029,宁聚爬山虎5期第一期,组合策略,查看,宁聚投资,查看,8.67%,查看,1.6071,60.71%,查看,查看,查看,,,
27030,优选六号证券投资基金,其他,查看,中科招商,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27031,海通海富22号优先级,股票策略,查看,海通证券,查看,--,查看,1.0888,8.88%,查看,查看,查看,,,
27032,海通汇智1号优先级3月期4号,组合策略,查看,海通证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27033,大河基金3号,其他,查看,陆家嘴财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27034,华融质押宝13号,债券策略,查看,华融证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27035,友山银麒2号基金,其他,查看,友山基金,查看,-0.60%,查看,1.1530,15.30%,查看,查看,查看,,,
27036,信厚聚容1号基金,债券策略,查看,信厚资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27037,双隆量化稳盈5号基金,股票策略,查看,新富资本,查看,62.40%,查看,1.6240,62.40%,查看,查看,查看,,,
27038,聚元套利1号,管理期货,查看,中城建投资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
27039,1088衡进套利1号基金,股票策略,查看,上海宜灵巴巴,查看,4.67%,查看,1.1309,13.09%,查看,查看,查看,,,
27040,申万万吨深海鲸二号,股票策略,查看,万吨资产,查看,1.03%,查看,0.8850,-11.50%,查看,查看,查看,,,
