Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
40554,臣君-嵩山灵活配置A,债券策略,查看,臣君资产,查看,0.00%,查看,1.0000,0.60%,查看,查看,查看,,,
40555,私募学院菁英312号,股票策略,查看,量行投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40556,金百灵-金粉商会,债券策略,查看,金百灵资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40557,中信资本悦信妙健康,股票策略,查看,悦信投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40558,恒宇天泽泰山九号,债券策略,查看,恒宇天泽投资,查看,--,查看,1.0170,1.70%,查看,查看,查看,,,
40559,中科诺识医药1,其他,查看,中永诺信华富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40560,老爷车2号,债券策略,查看,金百灵资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40561,安盈复合策略3号分级,多策略,查看,中粮期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40562,先锋国益弘丰二号,股票策略,查看,先锋国益投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40563,中融量化对冲稳健一号,对冲策略,查看,中融汇信投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40564,米多利-鸿盛聚财2号,股票策略,查看,米多资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40565,科创嘉源3号,多策略,查看,光大期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40566,鼎力聚鑫52号,其他,查看,鼎力投资基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40567,泊通成长7号,股票策略,查看,泊通投资,查看,19.01%,查看,1.1801,18.01%,查看,查看,查看,,,
40568,瑞熙紫禁城叁号,其他,查看,北京瑞熙,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40569,淳韬二号,股票策略,查看,淳韬投资,查看,-0.50%,查看,0.9950,-0.50%,查看,查看,查看,,,
40570,盈如圣安一号,股票策略,查看,上海盈如,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40571,资舟藏玥,股票策略,查看,资舟资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40572,中国红-黄山9号A12,债券策略,查看,中银国际,查看,--,查看,1.0294,2.94%,查看,查看,查看,,,
40573,锦和红橡稳盈一期,股票策略,查看,锦和投资,查看,--,查看,1.0522,5.22%,查看,查看,查看,,,
40574,启元横岗城市更新一期,股票策略,查看,启元资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40575,乾坤德贝,股票策略,查看,天信汇金,查看,10.93%,查看,1.1093,10.93%,查看,查看,查看,,,
40576,资舟观复另类1号,股票策略,查看,资舟资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40577,品赋投资-量盈MOM子9号,股票策略,查看,品赋投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40578,友罗资产天秤座1号,股票策略,查看,友罗资产,查看,2.77%,查看,1.0276,2.76%,查看,查看,查看,,,
40579,中纬风荷1号,股票策略,查看,中纬资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40580,正泽1号,股票策略,查看,正泽投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40581,首京建投吉林市城镇化建设,股票策略,查看,首京建设,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40582,博永-博复达4号,股票策略,查看,博永投资,查看,--,查看,1.0980,9.80%,查看,查看,查看,,,
40583,中冀共享一号,股票策略,查看,中冀盈方,查看,--,查看,1.0640,6.40%,查看,查看,查看,,,
40584,九坤私享21号,股票策略,查看,九坤投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40585,江煦禧昊,股票策略,查看,江煦投资,查看,--,查看,1.0390,3.90%,查看,查看,查看,,,
40586,和聚港股平台-1号,股票策略,查看,和聚投资,查看,--,查看,1.0590,5.90%,查看,查看,查看,,,
40587,华毓金鑫对冲平衡9号,股票策略,查看,国泰君邦,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40588,天福一号私募投资,股票策略,查看,合淳投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40589,隆达华大1号,股票策略,查看,隆达资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40590,启赋互联网建筑产业1号,股票策略,查看,东方银石,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40591,麦罗东证稳健2号,股票策略,查看,麦罗投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40592,聚鸣成长1号,股票策略,查看,聚鸣投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40593,千惠选股对冲1号,股票策略,查看,千惠资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40594,东海铧龙金沣CTA2号,管理期货,查看,铧龙投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40595,仟红银申1号2期,股票策略,查看,仟红投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40596,君通锐进1号,股票策略,查看,君通天下,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40597,拾贝收益12期,股票策略,查看,拾贝投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40598,坤煦多策略1号,多策略,查看,坤煦资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40599,鼎晟飞扬2号,股票策略,查看,鼎晟伟业,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40600,久安稳健精选1号,股票策略,查看,久安资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40601,成泉汇涌八期尊享AH期,股票策略,查看,成泉资本,查看,--,查看,1.0263,2.63%,查看,查看,查看,,,
40602,融和2期,股票策略,查看,经纬融和,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40603,盈创盈峰一号,股票策略,查看,乐创财富,查看,--,查看,0.8840,-11.60%,查看,查看,查看,,,
40604,光大阳光集结号分级1期A1,债券策略,查看,光大证券,查看,--,查看,1.0038,0.38%,查看,查看,查看,,,
40605,弘润资产FOF三号,股票策略,查看,弘润资管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40606,对偶3期,管理期货,查看,领望投资,查看,--,查看,1.0047,0.47%,查看,查看,查看,,,
40607,逸昇源2号,股票策略,查看,川汇资产,查看,-11.35%,查看,0.8200,-18.00%,查看,查看,查看,,,
40608,千象全景9号,股票策略,查看,千象资产,查看,5.93%,查看,1.0761,7.61%,查看,查看,查看,,,
40609,上海麒昶投资管理中心（有限合伙）,股票策略,查看,浚昶投资,查看,--,查看,0.7674,-23.26%,查看,查看,查看,,,
40610,同欣合一1号,多策略,查看,同欣合一,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40611,启元新能源光伏电站四期,股票策略,查看,启元资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40612,云松稳赢,多策略,查看,永安期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40613,桂冠添益A号,股票策略,查看,桂冠资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40614,平安汇通盛世2号,定向增发,查看,恒泰华盛资产,查看,--,查看,0.9940,-0.60%,查看,查看,查看,,,
40615,富春定增375号,定向增发,查看,财通基金,查看,--,查看,0.8860,-11.40%,查看,查看,查看,,,
40616,正前方盛冠达量化套利3号,套利策略,查看,正前方基金,查看,--,查看,0.9898,-1.02%,查看,查看,查看,,,
40617,硅谷天堂恒泰3号,股票策略,查看,硅谷天堂投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40618,同创南开天使1号,股票策略,查看,同创伟业创投,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40619,荟金万联康泽一期,其他,查看,荟金资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40620,汉锦2号,股票策略,查看,广州汉锦,查看,--,查看,0.8480,-15.20%,查看,查看,查看,,,
40621,上海元新富春1号,股票策略,查看,元新投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40622,鼎屹屹丰红橡稳盈一期,股票策略,查看,鼎屹投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40623,中子星-星盈1号,股票策略,查看,信弘天禾,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40624,华信万达期货-中募亚泰1号,多策略,查看,万达期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40625,弘业-天惠1号,管理期货,查看,弘业期货,查看,--,查看,0.9770,-2.30%,查看,查看,查看,,,
40626,快星恒成量化一号,股票策略,查看,快星投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40627,颐融万誉量化三号,股票策略,查看,兴业期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40628,拜富科技阿尔法猫五期,其他,查看,睿挪赛丝,查看,4.22%,查看,1.0650,6.50%,查看,查看,查看,,,
40629,诺华投资管理,定向增发,查看,朱曦资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40630,雁丰股票增强2号,股票策略,查看,雁丰投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40631,海石季度丰-五牛尊阔,股票策略,查看,五牛投资深圳,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40632,天风天成定增4号A,定向增发,查看,天风天成,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40633,逸士资本核心机遇,多策略,查看,逸士资本,查看,--,查看,0.9982,-0.18%,查看,查看,查看,,,
40634,合盈资产安盈七号,股票策略,查看,合盈资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40635,狮心资产·元鼎1号,股票策略,查看,狮心资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40636,晟视天下-智融2号,股票策略,查看,晟视天下投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40637,中粮期货点睛6号,多策略,查看,中粮期货,查看,--,查看,1.0577,5.77%,查看,查看,查看,,,
40638,四创特马二号,股票策略,查看,四创资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40639,上善主板定增稳赢3号,定向增发,查看,上善资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40640,弋盛移动营销3号,股票策略,查看,弋盛投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40641,德沃国际1号,多策略,查看,银河期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40642,寻宝图稳健1号,股票策略,查看,寻宝图资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40643,杭州运河之星,股票策略,查看,鼎筹资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40644,北泰优选3号,其他,查看,北泰投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40645,惟森价值成长,股票策略,查看,宏惟创世,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40646,天路五号,股票策略,查看,神州牧基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40647,锦绣2号(方正东亚),多策略,查看,台州思考,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40648,中云天弘定增一号,定向增发,查看,上海中云,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40649,政黔三号,其他,查看,蔚蓝金融,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40650,广发汇盛MOM-珺牛量子15号,组合策略,查看,中信盈时,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40651,泽晨一期,股票策略,查看,鼎运众弛,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40652,钱来钱往—慧信1号,其他,查看,钱来钱往,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40653,浪莎天算2号,股票策略,查看,浪莎资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40654,鸿盛聚财私募投资3号,股票策略,查看,米多资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40655,美尔雅-谷雨1号,管理期货,查看,美尔雅期货,查看,--,查看,1.0030,0.30%,查看,查看,查看,,,
40656,科创嘉源2号,多策略,查看,光大期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40657,恒曜一号,股票策略,查看,九曜资产,查看,--,查看,0.9374,-6.26%,查看,查看,查看,,,
40658,嘉诚100号,股票策略,查看,嘉诚资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40659,国融信达雁鸣壹号,股票策略,查看,国融信达,查看,-4.70%,查看,0.9472,-5.28%,查看,查看,查看,,,
40660,杨湜新朴1号,股票策略,查看,杨湜资产,查看,--,查看,1.0273,2.73%,查看,查看,查看,,,
40661,中欧盛世浦信恒盈2号,债券策略,查看,恒基浦业资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40662,泰诚大通王朝系列开元6号,股票策略,查看,泰诚大通投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40663,阳光信石1期,股票策略,查看,融汇阳光,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40664,水木鹏城2号,股票策略,查看,红筹投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40665,泓信全景十七号,多策略,查看,泓信投资,查看,--,查看,1.0006,0.06%,查看,查看,查看,,,
40666,东海全债双利2号,债券策略,查看,东海证券,查看,--,查看,1.0017,0.17%,查看,查看,查看,,,
40667,上海达仁强债1号,股票策略,查看,上海达仁,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40668,中信锦绣涌业发展壹号,股票策略,查看,中信锦绣资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40669,景领健康中国5号,股票策略,查看,景领投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40670,云上贵州大数据产业1号,股票策略,查看,云上贵州,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40671,米多利-鼎泰9号,股票策略,查看,米多资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40672,博鸿元和,股票策略,查看,博鸿投资上海,查看,--,查看,1.0870,8.70%,查看,查看,查看,,,
40673,明湾定制7号,股票策略,查看,明湾资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40674,信易安德远2号,股票策略,查看,信易安基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40675,甲骨文丰盈,股票策略,查看,甲骨文投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40676,富亿二号北京S1磁悬浮示范,股票策略,查看,金嘉富亿,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40677,融义林荫冀中能源一号,股票策略,查看,融义投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40678,福鑫庆源3号,股票策略,查看,庆源投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40679,锦成盛宏观稳健多策略,多策略,查看,锦成盛资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40680,石药水木健康产业,股票策略,查看,水木汇力投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40681,日昇昌智稳赢1号,股票策略,查看,日昇昌资产,查看,--,查看,1.0356,3.56%,查看,查看,查看,,,
40682,中邮永安复利一号,股票策略,查看,中邮永安,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40683,平安Secondary多策略1号,多策略,查看,平安财富理财,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40684,图斯鑫源森,股票策略,查看,图斯投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40685,天成价值2号,股票策略,查看,万贯天成,查看,--,查看,1.1070,10.70%,查看,查看,查看,,,
40686,信朗壹号,股票策略,查看,汇智聚信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40687,植瑞互联网金融,股票策略,查看,植瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40688,汇鑫12号,股票策略,查看,鼎力建业,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40689,核工业系列2号,股票策略,查看,宇艾基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40690,成泉汇涌八期尊享AF期,股票策略,查看,成泉资本,查看,--,查看,1.0263,2.63%,查看,查看,查看,,,
40691,利得珠池鋆鼎玉衡医疗,股票策略,查看,利得山金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40692,圆石中兴成长1期,股票策略,查看,圆石投资,查看,4.17%,查看,1.1240,12.40%,查看,查看,查看,,,
40693,双隆-聚盈5号,套利策略,查看,双隆投资,查看,4.72%,查看,1.1090,10.90%,查看,查看,查看,,,
40694,精赢建信,多策略,查看,康腾投资,查看,--,查看,1.0020,0.20%,查看,查看,查看,,,
40695,兴享进取理成1号,股票策略,查看,理成资产,查看,--,查看,1.0217,2.17%,查看,查看,查看,,,
40696,光大阳光集结号分级1期A2,债券策略,查看,光大证券,查看,--,查看,1.0039,0.39%,查看,查看,查看,,,
40697,永富看涨1期,股票策略,查看,中投永富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40698,观富丰信一号,股票策略,查看,观富资产,查看,12.80%,查看,1.1280,12.80%,查看,查看,查看,,,
40699,太合汇汇弘1号,股票策略,查看,太合汇,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40700,快乐一期,股票策略,查看,快乐股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40701,恒富深圳观澜新里程二期,其他,查看,恒富汇通,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40702,钜派红杉生活服务平台项目,股票策略,查看,易德臻投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40703,盖伦新三板教科文30指数,定向增发,查看,盖伦国际投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40704,中信盈时聚盈定增,定向增发,查看,中信盈时,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40705,兆天金牛精选7号,股票策略,查看,兆天投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40706,志远2号,其他,查看,银河期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40707,方元裕金稳健1号十四期,股票策略,查看,协和方元,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40708,国开恒证现金丰盈1号,股票策略,查看,中开金资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40709,金鼎海汇三期私募,其他,查看,金鼎投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40710,济海成长结构化3号,股票策略,查看,济海投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40711,帛仁新三板定增一号,股票策略,查看,帛仁资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40712,硅谷天堂亚飞车贷通2号,其他,查看,硅谷天堂投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40713,外滩稳银五号,其他,查看,贵州外滩,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40714,上海新资源三号,股票策略,查看,百赢投资,查看,26.89%,查看,1.1890,18.90%,查看,查看,查看,,,
40715,兴银投资-兴苏1号,股票策略,查看,兴银股权投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40716,经开-恒鑫1号,股票策略,查看,贵州经开,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40717,枫格复合策略一期,股票策略,查看,枫格资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
