Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
301,东方红-先锋7号,股票策略,查看,东方红资管,查看,27.74%,查看,2.1953,141.53%,查看,查看,查看,,,
302,泽嘉丰盈1期,股票策略,查看,泽嘉投资,查看,26.84%,查看,1.5492,54.92%,查看,查看,查看,,,
303,最具巴菲特汇丰盈对冲1号,对冲策略,查看,宝银创赢,查看,--,查看,1.4604,46.04%,查看,查看,查看,,,
304,优波喜马拉雅2号,股票策略,查看,优波投资,查看,35.12%,查看,1.5596,75.46%,查看,查看,查看,,,
305,朱雀8期,股票策略,查看,朱雀投资,查看,54.56%,查看,1.9542,127.87%,查看,查看,查看,,,
306,仁灏开元,股票策略,查看,仁灏投资,查看,23.01%,查看,1.3043,30.43%,查看,查看,查看,,,
307,长牛分析1号,股票策略,查看,润樽投资,查看,31.61%,查看,1.5030,50.30%,查看,查看,查看,,,
308,凯润1期,股票策略,查看,凯润资本,查看,--,查看,1.5118,51.18%,查看,查看,查看,,,
309,中融信托-融裕6号,股票策略,查看,潼骁投资,查看,49.69%,查看,2.2848,128.48%,查看,查看,查看,,,
310,鸿道创新改革,股票策略,查看,鸿道投资,查看,43.06%,查看,1.6024,60.24%,查看,查看,查看,,,
311,长金9号,股票策略,查看,长金投资,查看,21.09%,查看,1.7744,77.44%,查看,查看,查看,,,
312,黄金优选37期1号,股票策略,查看,泽升投资,查看,49.22%,查看,1.0008,0.08%,查看,查看,查看,,,
313,黄金优选37期2号,股票策略,查看,泽升投资,查看,49.21%,查看,1.2255,22.55%,查看,查看,查看,,,
314,汉景泉东方港湾马拉松,股票策略,查看,东方港湾,查看,36.32%,查看,1.2760,27.60%,查看,查看,查看,,,
315,东方消费服务优选,股票策略,查看,马拉松,查看,24.79%,查看,1.7670,76.70%,查看,查看,查看,,,
