Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
12001,道冲ETF套利稳增,股票策略,查看,道冲投资,查看,17.04%,查看,1.1108,11.08%,查看,查看,查看,,,
12002,天富宝1号,股票策略,查看,国泰君安,查看,3.14%,查看,1.0860,8.60%,查看,查看,查看,,,
12003,云信世诚,其他,查看,世诚投资,查看,--,查看,1.1000,10.00%,查看,查看,查看,,,
12004,恒泰创富6号（次级）,股票策略,查看,恒泰证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12005,民族金港湾3号次级,债券策略,查看,民族证券,查看,6.13%,查看,1.1217,48.55%,查看,查看,查看,,,
12006,月月福,债券策略,查看,财通证券,查看,2.99%,查看,1.0440,4.40%,查看,查看,查看,,,
12007,光大阳光集结号债券分级1期A2,债券策略,查看,光大证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12008,光大阳光量化套利7号A,股票策略,查看,光大证券,查看,5.80%,查看,1.0580,5.80%,查看,查看,查看,,,
12009,金海一号,股票策略,查看,南宁金海,查看,3.37%,查看,1.2315,23.15%,查看,查看,查看,,,
12010,国联玉如意1号第7期优先级6月期,债券策略,查看,国联证券,查看,2.74%,查看,1.0294,2.94%,查看,查看,查看,,,
12011,瑞滙2A类第43期,股票策略,查看,招商证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12012,国联玉如意3号第5期优先级,其他,查看,国联证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12013,财通聚富5号A13,债券策略,查看,财通证券,查看,0.28%,查看,1.0033,8.92%,查看,查看,查看,,,
12014,理成风景9号,股票策略,查看,理成资产,查看,0.48%,查看,1.1050,10.50%,查看,查看,查看,,,
12015,玺鸣1号,管理期货,查看,玺鸣投资,查看,-14.46%,查看,0.9230,-7.70%,查看,查看,查看,,,
12016,骏胜-朔宏1号,管理期货,查看,骏胜资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12017,民生财富尊悦2号1期,组合策略,查看,民生财富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12018,国泰君安君享通宝53号,其他,查看,国泰君安,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12019,睿银量化1号,套利策略,查看,晟沣投资,查看,-12.33%,查看,1.6500,65.00%,查看,查看,查看,,,
12020,磐沣一期基金,其他,查看,磐信投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12021,系数投资2号,股票策略,查看,系数投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
12022,银河资本永望真汇,股票策略,查看,永望资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
