Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
36001,金琥2号,股票策略,查看,广东金琥,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36002,明溪17号,套利策略,查看,牧鑫资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36003,大来天美量化1号,股票策略,查看,大来基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36004,堃熙源沣,股票策略,查看,堃熙投资,查看,--,查看,1.0150,1.50%,查看,查看,查看,,,
36005,联创永泉金麒麟1号,股票策略,查看,联创永泉,查看,--,查看,1.2454,24.54%,查看,查看,查看,,,
36006,文鑫5号,股票策略,查看,文鑫股权投资,查看,--,查看,0.9580,-4.20%,查看,查看,查看,,,
36007,钜洲三盛福建首福发展,股票策略,查看,钜洲资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36008,每利-日鑫债券优选,债券策略,查看,每利投资,查看,--,查看,1.0060,0.60%,查看,查看,查看,,,
36009,惠隆量化2号,股票策略,查看,惠隆资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36010,佐弦稳健壹号,股票策略,查看,慧移投资,查看,--,查看,0.9820,-1.80%,查看,查看,查看,,,
36011,步步盈一号金宇车城,股票策略,查看,步饶投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36012,华霖私募,股票策略,查看,黑岩资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36013,鑫安国泰鲲鹏1号,股票策略,查看,聚丰投资集团,查看,--,查看,1.2400,24.00%,查看,查看,查看,,,
36014,星光智富,股票策略,查看,星玛资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36015,天堂硅谷-定增融源3A号,定向增发,查看,天堂硅谷,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36016,润沣南联,股票策略,查看,润沣投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36017,敦和八卦田积极1号,股票策略,查看,敦和资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36018,万相一号3期,股票策略,查看,万相私募,查看,--,查看,1.0340,3.40%,查看,查看,查看,,,
36019,世纪盛元玉成1号,股票策略,查看,世纪盛元,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36020,中润东方幂律,股票策略,查看,中润东方,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36021,鼎泰陆号影视文化,股票策略,查看,银砖股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36022,三友趋势一号,股票策略,查看,三友资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36023,当代科技汉银合作投资产业,股票策略,查看,武汉信用基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36024,倍易东驰一号,股票策略,查看,倍易投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36025,中鼎一号,股票策略,查看,中鼎运达,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36026,感恩在线成长基金,股票策略,查看,感恩在线投资,查看,--,查看,1.1230,12.30%,查看,查看,查看,,,
36027,野狼博弈冠军2号,多策略,查看,鼎信汇金,查看,1.85%,查看,0.9910,-0.90%,查看,查看,查看,,,
36028,泰富精选基金,股票策略,查看,泰富基金,查看,--,查看,0.9770,-2.30%,查看,查看,查看,,,
36029,星辰之双隆多策略2号,多策略,查看,双隆投资,查看,--,查看,1.0019,0.19%,查看,查看,查看,,,
36030,亿丰恒嘉融金财富二号,股票策略,查看,亿丰汇金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36031,恒友1期,股票策略,查看,恒友资产,查看,--,查看,0.8994,-10.06%,查看,查看,查看,,,
36032,久盈资产进取二期,股票策略,查看,久盈资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36033,银河西部多策略1号,组合策略,查看,银河期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36034,秋实弘仕金宝1号,股票策略,查看,秋实弘仕,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36035,嘉澳量化-策略优选,股票策略,查看,嘉澳量化,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
36036,新湖牛势凯利方程式,其他,查看,新湖期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
