Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
37501,明汯价值成长一号,股票策略,查看,明汯投资,查看,16.24%,查看,1.1740,17.40%,查看,查看,查看,,,
37502,平安阖鼎-喜岳衡山B,股票策略,查看,平安阖鼎投资,查看,--,查看,0.9786,-2.14%,查看,查看,查看,,,
37503,笃道价值事件驱动,股票策略,查看,笃道投资,查看,--,查看,1.0049,0.49%,查看,查看,查看,,,
37504,宇鹏华利三号,股票策略,查看,宇鹏投资,查看,--,查看,1.1230,12.30%,查看,查看,查看,,,
37505,坤上资产共富9号,股票策略,查看,坤上资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37506,君之健翱翔福泰,股票策略,查看,君之健投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37507,汇泽量慧FOF1期A号,股票策略,查看,中科汇泽,查看,--,查看,1.0171,1.71%,查看,查看,查看,,,
37508,民加资本荣华,股票策略,查看,民加资本投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37509,顺势佐坤,股票策略,查看,佐坤投资,查看,--,查看,1.0963,9.63%,查看,查看,查看,,,
37510,国信票据权益十七号,股票策略,查看,深圳国信股权,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37511,麦高一期,股票策略,查看,麦高资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37512,海之源稳健增益,股票策略,查看,海之源,查看,--,查看,1.0720,7.20%,查看,查看,查看,,,
37513,江南信资本二号,股票策略,查看,江南信,查看,--,查看,0.9727,-2.73%,查看,查看,查看,,,
37514,福克斯投资壹号,股票策略,查看,君融达资产,查看,--,查看,1.0480,4.80%,查看,查看,查看,,,
37515,平方和点金1号,股票策略,查看,宇迪投资,查看,--,查看,1.0110,1.10%,查看,查看,查看,,,
37516,盈至1号,股票策略,查看,盈至资产管,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37517,鑫润禾聊塑全球套利对冲,套利策略,查看,鑫润禾,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37518,青柯元素量化1号,股票策略,查看,元素金服,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37519,凤奥山鹰1号应收账款收益,股票策略,查看,凤奥资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37520,橙叶捌号,股票策略,查看,橙叶投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37521,远泓富盈,股票策略,查看,逸潮资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37522,钜安恒大金碧天下一期,股票策略,查看,易德臻投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37523,涌峰中国龙平衡专享1期,股票策略,查看,泓睿投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37524,高毅利伟精选唯实7号,股票策略,查看,高毅资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37525,富通稳健优选一期,股票策略,查看,西尚投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37526,中冀-新能源2号,股票策略,查看,瑞科嘉银,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37527,掌经浩宇成长1号,股票策略,查看,掌经天下,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37528,启尚1号,多策略,查看,启尚资管,查看,-1.16%,查看,1.0200,2.00%,查看,查看,查看,,,
37529,禄象谷雨15号,多策略,查看,禄象投资,查看,--,查看,1.0145,1.45%,查看,查看,查看,,,
37530,贝塔4号,股票策略,查看,贝塔投资,查看,--,查看,0.8324,-16.76%,查看,查看,查看,,,
37531,金樟合晟可交换债105号,股票策略,查看,合晟资产,查看,5.07%,查看,1.0560,5.60%,查看,查看,查看,,,
37532,冠通北纬-双鱼组合1号8期,管理期货,查看,冠通北纬资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
37533,华溢北极星FOF,多策略,查看,华溢之星资产,查看,--,查看,1.4181,41.81%,查看,查看,查看,,,
37534,顺景17号,定向增发,查看,浙银钜鑫,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
