Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
43553,富优达期货量化多策略,其他,查看,银河期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43554,平安财富-固盈A-044号,债券策略,查看,平安德成,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43555,海石季度丰-五牛尊限,股票策略,查看,五牛投资深圳,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43556,昭融金利2号,管理期货,查看,昭融汇利,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43557,宁波瑞尔晨熠一号分级,管理期货,查看,徽商期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43558,源乘三号,多策略,查看,源乘投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43559,东洪赢胜,股票策略,查看,东洪投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43560,华风西湖晓楼电影游侠学徒,其他,查看,华风投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43561,汇富尚嘉部落套利一号,其他,查看,尚嘉部落投资,查看,--,查看,1.1190,11.90%,查看,查看,查看,,,
43562,银河新华联1号,股票策略,查看,银河期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43563,稳盈CTA,管理期货,查看,华道资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43564,永安1号,其他,查看,永安资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43565,中海银信滨海名都项目4号,其他,查看,中海银信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43566,易正天道-稳健1号,股票策略,查看,易正天道,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43567,舒克优泳FOF,股票策略,查看,舒克资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43568,国德证大金马量化1号,股票策略,查看,国德基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43569,融汇东方聚鑫10号,股票策略,查看,融汇东方投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43570,嵩银智汇,股票策略,查看,嵩银资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43571,五矿经易乙未一号,多策略,查看,五矿期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43572,舜耕天禾5号,管理期货,查看,首创期货,查看,--,查看,0.9286,-7.14%,查看,查看,查看,,,
43573,东翔2号,股票策略,查看,共青城东方榕富,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43574,浙江牛势一号,股票策略,查看,东圣智衍,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43575,汇金方格优选四号,股票策略,查看,汇金方格瑞安,查看,5.60%,查看,1.0560,17.60%,查看,查看,查看,,,
43576,馨众资产智富策略1号,股票策略,查看,馨众资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43577,灵均中性6号A,多策略,查看,平安阖鼎投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43578,华龙华融盈诚,定向增发,查看,华龙证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43579,牧鑫敦儒30号,套利策略,查看,牧鑫资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43580,融泰中和中小盘成长一号,股票策略,查看,融泰中和,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43581,天华资本君泽26号,股票策略,查看,天华君泽,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43582,宝荟常青藤2号,股票策略,查看,宝荟投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43583,明爵共赢五号,股票策略,查看,明爵资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43584,同梦十一号,股票策略,查看,坤元资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43585,汇升稳进七号,对冲策略,查看,汇鸿汇升投资,查看,-1.96%,查看,0.9804,-1.96%,查看,查看,查看,,,
43586,思融分布式能源鑫源1号,股票策略,查看,思融投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43587,明盛-新湖CTA一号,管理期货,查看,明盛资产,查看,--,查看,1.0068,0.68%,查看,查看,查看,,,
